#model: tadap
# Isentrope from stress.dstrain
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
23.96015074705836 0.8952364376352457 0.5121398980534322 -248120.5218627205  -40.67078769668171 -40.67078769668171 -40.67078769668171 0.0 0.0 0.0 379.1914398580677 2.640669922413845E-4 28.95938178507963 6.857072491814629E-5 40.67078769668171 6.6374946999868145 6.559399698014298E-7 23.96015074705836 379.1914398580677
23.998768451848523 0.89379586469354 0.5208219472518116 -248120.52063248714  -41.423575207491126 -41.423575207491126 -41.423575207491126 0.0 0.0 0.0 383.30392196785766 2.640980638559555E-4 29.168131975618895 6.701793991406701E-5 41.423575207491126 6.761218542810244 6.473191806840601E-7 23.998768451848523 383.30392196785766
24.037386156665438 0.8923599205087459 0.5295210860532167 -248120.51940738075  -42.17737581543306 -42.17737581543306 -42.17737581543306 0.0 0.0 0.0 387.5331776684426 2.640961692445753E-4 29.376550095931414 6.546515490891211E-5 42.17737581543306 6.890910555475747 6.388498250617504E-7 24.037386156665438 387.5331776684426
24.076003861508976 0.8909285828074132 0.5382373442350931 -248120.51738160982  -43.00763051249339 -43.00763051249339 -43.00763051249339 0.0 0.0 0.0 391.8857315099109 2.641385689777922E-4 29.58794303394721 6.427409478798883E-5 43.00763051249339 6.9858735385476605 6.303148082526928E-7 24.076003861508976 391.8857315099109
24.114621566379018 0.8895018294587681 0.5469713061558987 -248120.51258802594  -44.09712707688416 -44.09712707688416 -44.09712707688416 0.0 0.0 0.0 396.28416500192736 2.64422802546337E-4 29.806562422876855 6.432622787944538E-5 44.09712707688416 6.942177434695349 6.212858344967983E-7 24.114621566379018 396.28416500192736
24.153239271275428 0.8880796384735735 0.5557228436069208 -248120.5077930657  -45.18641008659732 -45.18641008659732 -45.18641008659732 0.0 0.0 0.0 400.69685366191135 2.646923512826428E-4 30.01851416974201 6.437836097093752E-5 45.18641008659732 6.898673625430883 6.125491463054224E-7 24.153239271275428 400.69685366191135
24.191856976198082 0.8866619880029984 0.5644908145977584 -248120.50299675146  -46.275473685338056 -46.275473685338056 -46.275473685338056 0.0 0.0 0.0 405.12341615577935 2.649475588589025E-4 30.223767455925955 6.443049406246508E-5 46.275473685338056 6.855361062472478 6.040932592088154E-7 24.191856976198082 405.12341615577935
24.23047468114685 0.8852488563375001 0.573274089468025 -248120.4981991058  -47.36431206027106 -47.36431206027106 -47.36431206027106 0.0 0.0 0.0 409.5634692624432 2.651887590852805E-4 30.42229262009521 6.448262715402791E-5 47.36431206027106 6.812238704632548 5.959073185636771E-7 24.23047468114685 409.5634692624432
24.26909238612161 0.8838402219057141 0.58207155048876 -248120.49340015138  -48.45291944345032 -48.45291944345032 -48.45291944345032 0.0 0.0 0.0 414.0166279715438 2.654162771228802E-4 30.614061164801914 6.453476024562581E-5 48.45291944345032 6.769305517759589 5.879810587677605E-7 24.26909238612161 414.0166279715438
24.307710091122242 0.8824360632733584 0.5908820914811415 -248120.4885999112  -49.54129011322041 -49.54129011322041 -49.54129011322041 0.0 0.0 0.0 418.48250558090797 2.656304291683119E-4 30.799045762645935 6.458689333725865E-5 49.54129011322041 6.72656047468066 5.803047656748403E-7 24.307710091122242 418.48250558090797
24.346327796148625 0.8810363591421455 0.5997046174514156 -248120.4837984083  -50.62941839559119 -50.62941839559119 -50.62941839559119 0.0 0.0 0.0 422.96071379370227 2.658315228553147E-4 30.977220261998735 6.463902642892626E-5 50.62941839559119 6.684002555144385 5.728692419246851E-7 24.346327796148625 422.96071379370227
24.384945501200633 0.8796410883487057 0.6085380442410044 -248120.47899566602  -51.71729866558393 -51.71729866558393 -51.71729866558393 0.0 0.0 0.0 427.4508628152417 2.660198575037094E-4 31.148559692290572 6.469115952062844E-5 51.71729866558393 6.641630745764534 5.656657749316432E-7 24.384945501200633 427.4508628152417
24.42356320627814 0.8782502298635205 0.6173812981908385 -248120.47419170782  -52.80492534854975 -52.80492534854975 -52.80492534854975 0.0 0.0 0.0 431.9525614494235 2.661957241590541E-4 31.31304026886329 6.474329261236507E-5 52.80492534854975 6.599444039964117 5.58686107301125E-7 24.42356320627814 431.9525614494235
24.462180911381033 0.8768637627898658 0.626233315819018 -248120.46938655732  -53.89229292146013 -53.89229292146013 -53.89229292146013 0.0 0.0 0.0 436.4654171947522 2.663594065714393E-4 31.470639397391082 6.479542570413596E-5 53.89229292146013 6.557441437920028 5.519224094661269E-7 24.462180911381033 436.4654171947522
24.500798616509186 0.8754816663627654 0.635093043510946 -248120.46458023827  -54.979395914167256 -54.979395914167256 -54.979395914167256 0.0 0.0 0.0 440.98903633991546 2.665111806699412E-4 31.62133567787127 6.484755879594094E-5 54.979395914167256 6.515621946508242 5.45367254356307E-7 24.500798616509186 440.98903633991546
24.539416321662486 0.8741039199479548 0.6439594372211725 -248120.4597727747  -56.06622891063752 -56.06622891063752 -56.06622891063752 0.0 0.0 0.0 445.52302405889384 2.6665131466433785E-4 31.765108908188314 6.489969188777987E-5 56.06622891063752 6.473984579249489 5.39013593930248E-7 24.539416321662486 445.52302405889384
24.57803402684081 0.8727305030408536 0.6528314621861815 -248120.45496419058  -57.15278655015453 -57.15278655015453 -57.15278655015453 0.0 0.0 0.0 450.06698450555774 2.6678007044120706E-4 31.901940087253557 6.49518249796526E-5 57.15278655015453 6.432528356255505 5.328547374178051E-7 24.57803402684081 450.06698450555774
24.616651732044037 0.8713613952655496 0.6617080926474419 -248120.4501545102  -58.239063528493745 -58.239063528493745 -58.239063528493745 0.0 0.0 0.0 454.62052090773 2.6689770238640445E-4 32.03181141772382 6.500395807155894E-5 58.239063528493745 6.39125230417575 5.268843311339179E-7 24.616651732044037 454.62052090773
24.655269437272057 0.8699965763737888 0.6705883115840664 -248120.44534375798  -59.32505459906817 -59.32505459906817 -59.32505459906817 0.0 0.0 0.0 459.1832356606852 2.670044582489215E-4 32.15470630830218 6.505609116349874E-5 59.32505459906817 6.350155456144653 5.210963397382942E-7 24.655269437272057 459.1832356606852
24.693887142524755 0.8686360262439794 0.6794713054922376 -248120.44034430914  -60.410856867377284 -60.410856867377284 -60.410856867377284 0.0 0.0 0.0 463.75473042004785 2.676186121893862E-4 32.273441127215825 1.6989740558456026E-4 60.410856867377284 2.431446692928174 5.18342437250245E-7 24.693887142524755 463.75473042004785
