# Isentrope from stress.dstrain
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
10.352405152865051 0.9473933694804892 0.1093449874896507 0.007392869468416116  -2.2077564187704595 -2.2077564187704595 -2.2077564187704595 0.0 0.0 0.0 326.44244226106156 NaN 4.78154137898125 1.1880353681907108E-4 2.2077564187704595 1.9999617363856592 4.800007079844067E-6 10.352405152865051 326.44244226106156
10.359764681975236 0.9467203455947616 0.11089944692212293 0.007569682395894088  -2.24095022267204 -2.24095022267204 -2.24095022267204 0.0 0.0 0.0 326.9067343052623 NaN 4.787754374696076 1.1880180055514148E-4 2.24095022267204 1.9999612173471077 4.7903014535501705E-6 10.359764681975236 326.9067343052623
10.367124211085857 0.9460482772563142 0.11245381001770546 0.007746532893710925  -2.2741464287451523 -2.2741464287451523 -2.2741464287451523 0.0 0.0 0.0 327.37135616913895 NaN 4.793959248731962 1.1880006429121177E-4 2.2741464287451523 1.9999607405297812 4.780634114149354E-6 10.367124211085857 327.37135616913895
10.374483740196919 0.945377162431587 0.11400807494665295 0.007923420961274328  -2.3073450387071492 -2.3073450387071492 -2.3073450387071492 0.0 0.0 0.0 327.8363078621664 NaN 4.800156019255101 1.1879832802728196E-4 2.3073450387071492 1.9999603058456412 4.771004835135021E-6 10.374483740196919 327.8363078621664
10.381843269308416 0.9447069990927869 0.11556223988985452 0.008100346597993404  -2.3405460542754457 -2.3405460542754457 -2.3405460542754457 0.0 0.0 0.0 328.3015893938332 NaN 4.806344704379183 1.1879659176335204E-4 2.3405460542754457 1.999959913206903 4.761413391783874E-6 10.381843269308416 328.3015893938332
10.389202798420351 0.9440377852178656 0.11711630303877409 0.008277309803279096  -2.3737494771675944 -2.3737494771675944 -2.3737494771675944 0.0 0.0 0.0 328.7672007736426 NaN 4.8125253221656035 1.1879485549942202E-4 2.3737494771675944 1.999959562526029 4.751859561138363E-6 10.389202798420351 328.7672007736426
10.396562327532719 0.9433695187905018 0.11867026259538327 0.008454310576543708  -2.4069553091012015 -2.4069553091012015 -2.4069553091012015 0.0 0.0 0.0 329.23314201111157 NaN 4.818697890623633 1.1879311923549191E-4 2.4069553091012015 1.9999592537157296 4.7423431219894145E-6 10.396562327532719 329.23314201111157
10.403921856645523 0.9427021978000778 0.12022411677210378 0.008631348917201473  -2.4401635517940297 -2.4401635517940297 -2.4401635517940297 0.0 0.0 0.0 329.69941311577185 NaN 4.824862427710625 1.1879138297156168E-4 2.4401635517940297 1.9999589866889624 4.732863854859281E-6 10.403921856645523 329.69941311577185
10.411281385758759 0.942035820241662 0.12177786379174048 0.008808424824667961  -2.4733742069638915 -2.4733742069638915 -2.4733742069638915 0.0 0.0 0.0 330.16601409716867 NaN 4.831018951332183 1.1878964670763137E-4 2.4733742069638915 1.9999587613589311 4.7234215419846805E-6 10.411281385758759 330.16601409716867
10.418640914872432 0.9413703841159871 0.12333150188742426 0.008985538298360612  -2.5065872763287524 -2.5065872763287524 -2.5065872763287524 0.0 0.0 0.0 330.632944964862 NaN 4.837167479342368 1.1878791044370094E-4 2.5065872763287524 1.9999585776390854 4.714015967300052E-6 10.418640914872432 330.632944964862
10.426000443986533 0.9407058874294317 0.12488502930254552 0.009162689337698158  -2.539802761606609 -2.539802761606609 -2.539802761606609 0.0 0.0 0.0 331.1002057284253 NaN 4.843308029543858 1.1878617417977042E-4 2.539802761606609 1.9999584354431192 4.704646916421079E-6 10.426000443986533 331.1002057284253
10.43335997310107 0.9400423281939982 0.12643844429069986 0.0093398779421013  -2.573020664515634 -2.573020664515634 -2.573020664515634 0.0 0.0 0.0 331.5677963974468 NaN 4.849440619688165 1.1878443791583977E-4 2.573020664515634 1.9999583346849692 4.695314176628324E-6 10.43335997310107 331.5677963974468
10.440719502216032 0.9393797044272959 0.12799174511562095 0.009517104110991973  -2.606240986774028 -2.606240986774028 -2.606240986774028 0.0 0.0 0.0 332.035716981528 NaN 4.855565267475786 1.1878270165190905E-4 2.606240986774028 1.9999582752788154 4.686017536851145E-6 10.440719502216032 332.035716981528
10.448079031331426 0.938718014152518 0.1295449300511269 0.009694367843794058  -2.6394637301001542 -2.6394637301001542 -2.6394637301001542 0.0 0.0 0.0 332.50396749028545 NaN 4.861681990556409 1.1878096538797821E-4 2.6394637301001542 1.9999582571390804 4.676756787651719E-6 10.448079031331426 332.50396749028545
