# Isentrope from stress.dstrain
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
1.1300755339478799 0.8565799107412984 NaN -18466.799219780405  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.001969866515201713 -3.0739531879875126 0.001086224704049557 0.0 0.0 -0.0 1.1300755339478799 298.0
1.1318182816829578 0.855260968713663 NaN -18466.80449085535  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0019676046394423666 -3.0384688303850753 0.0010861811083332554 0.0 0.0 -0.0 1.1318182816829578 298.0
1.1335610294190934 0.853946082193795 NaN -18466.809761930293  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0019653427636830197 -3.002984472761104 0.0010861375126169275 0.0 0.0 -0.0 1.1335610294190934 298.0
1.1353037771562824 0.8526352325054831 NaN -18466.815033005238  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0019630808879358805 -2.967500115115685 0.0010860939169005728 0.0 0.0 -0.0 1.1353037771562824 298.0
1.1370465248945196 0.8513284010870166 NaN -18466.82030408019  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0019608190121765336 -2.9320157574489216 0.0010860503211841924 0.0 0.0 -0.0 1.1370465248945196 298.0
1.1387892726338003 0.8500255694903083 NaN -18466.82557515514  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.001958557136429395 -2.8965313997609137 0.0010860067254677857 0.0 0.0 -0.0 1.1387892726338003 298.0
1.1405320203741196 0.8487267193800264 NaN -18466.830846230103  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.00195629526065784 -2.861047042051756 0.001085963129751353 0.0 0.0 -0.0 1.1405320203741196 298.0
1.1422747681154723 0.8474318325327352 NaN -18466.836117305058  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.001954033384910701 -2.8255626843215573 0.0010859195340348945 0.0 0.0 -0.0 1.1422747681154723 298.0
1.1440175158578547 0.8461408908360412 NaN -18466.84138838002  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0019517715091513543 -2.7900783265703946 0.0010858759383184102 0.0 0.0 -0.0 1.1440175158578547 298.0
1.1457602636012614 0.8448538762877501 NaN -18466.84665945499  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0019495096333797992 -2.7545939687983756 0.0010858323426019005 0.0 0.0 -0.0 1.1457602636012614 298.0
1.1475030113456879 0.8435707709950294 NaN -18466.851930529956  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0019472477576204523 -2.7191096110055915 0.001085788746885365 0.0 0.0 -0.0 1.1475030113456879 298.0
1.1492457590911296 0.8422915571735795 NaN -18466.857201604933  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0019449858818366896 -2.683625253192137 0.0010857451511688042 0.0 0.0 -0.0 1.1492457590911296 298.0
1.1509885068375816 0.8410162171468116 NaN -18466.862472679906  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0019427240060773427 -2.648140895358112 0.0010857015554522182 0.0 0.0 -0.0 1.1509885068375816 298.0
1.1527312545850399 0.8397447333450333 NaN -18466.867743754883  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0019404621303179958 -2.612656537503597 0.0010856579597356068 0.0 0.0 -0.0 1.1527312545850399 298.0
1.1544740023334994 0.8384770883046428 NaN -18466.873014829867  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0019382002545342328 -2.5771721796286964 0.0010856143640189705 0.0 0.0 -0.0 1.1544740023334994 298.0
1.1562167500829559 0.8372132646673284 NaN -18466.878285904848  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.001935938378787094 -2.541687821733496 0.0010855707683023093 0.0 0.0 -0.0 1.1562167500829559 298.0
1.157959497833405 0.8359532451792763 NaN -18466.88355697984  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0019336765029911232 -2.506203463818087 0.0010855271725856233 0.0 0.0 -0.0 1.157959497833405 298.0
1.1597022455848414 0.8346970126903864 NaN -18466.888828054827  -0.0 -0.0 -0.0 0.0 0.0 0.0 298.0 0.0019314146272317763 -2.4707191058825715 0.0010854835768689126 0.0 0.0 -0.0 1.1597022455848414 298.0
