# Isentrope from stress.dstrain
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
9.973248829371137 0.9826286466591588 0.0325895874287597 -3.5175649776980974E-4  -0.5922667275314942 -0.5922667275314942 -0.5922667275314942 0.0 0.0 0.0 298.3721732943908 NaN 3.645238411545192 1.2260086090109566E-4 0.5922667275314942 1.0277578935826757 3.4659456496226175E-6 9.973248829371137 298.3721732943908
9.976517675208855 0.9823066844609024 0.033215314146914074 -3.3197709866579527E-4  -0.6041092252753082 -0.6041092252753082 -0.6041092252753082 0.0 0.0 0.0 298.4726664476718 NaN 3.646417419552396 1.2260086090109566E-4 0.6041092252753082 1.0274151373875513 3.46253459345598E-6 9.976517675208855 298.4726664476718
9.979786521046591 0.9819849331779357 0.03384138655538524 -3.120293221273088E-4  -0.6159601512266757 -0.6159601512266757 -0.6159601512266757 0.0 0.0 0.0 298.57312683468507 NaN 3.6580871066846075 1.2259893612216253E-4 0.6159601512266757 1.0270739913507836 3.4491583975053285E-6 9.979786521046591 298.57312683468507
9.983055366884347 0.9816633926030727 0.0344678043810499 -2.915597794592042E-4  -0.6278368579860564 -0.6278368579860564 -0.6278368579860564 0.0 0.0 0.0 298.6735552166358 NaN 3.6592670994243766 1.2259892877467102E-4 0.6278368579860564 1.0267377483745037 3.4457884751144125E-6 9.983055366884347 298.6735552166358
9.986324212722124 0.9813420625293985 0.03509456700582696 -2.708079260447739E-4  -0.6397275878353156 -0.6397275878353156 -0.6397275878353156 0.0 0.0 0.0 298.7739516047419 NaN 3.670948139170475 1.2259892443737164E-4 0.6397275878353156 1.0264017003231445 3.4325756093483685E-6 9.986324212722124 298.7739516047419
9.989593058559917 0.9810209427502697 0.035721674132557904 -2.4964756771303433E-4  -0.6516385408819185 -0.6516385408819185 -0.6516385408819185 0.0 0.0 0.0 298.8743160031544 NaN 3.672128530415369 1.2259892443737164E-4 0.6516385408819185 1.026065835898404 3.4292268610216638E-6 9.989593058559917 298.8743160031544
9.992861904397731 0.9807000330593126 0.03634912505870639 -2.2809103822962512E-4  -0.6635691159926075 -0.6635691159926075 -0.6635691159926075 0.0 0.0 0.0 298.9746484209586 NaN 3.683818867972399 1.2259892443737164E-4 0.6635691159926075 1.0257301912082772 3.416108414327405E-6 9.992861904397731 298.9746484209586
9.996130750235563 0.9803793332504238 0.036976919488367316 -2.0623947929778E-4  -0.6755143425797623 -0.6755143425797623 -0.6755143425797623 0.0 0.0 0.0 299.0749488677888 NaN 3.684999659294443 1.2259892443737164E-4 0.6755143425797623 1.0253947660372071 3.412780654603733E-6 9.996130750235563 299.0749488677888
9.999399596073415 0.9800588431177693 0.03760505693490223 -1.8387776546502843E-4  -0.6874848110646785 -0.6874848110646785 -0.6874848110646785 0.0 0.0 0.0 299.17521735187256 NaN 3.696704287308015 1.225989298377653E-4 0.6874848110646785 1.0250595150169075 3.3997511186872E-6 9.999399596073415 299.17521735187256
10.002668441911288 0.9797385624557838 0.03823353710348003 -1.613345892907722E-4  -0.6994643550940116 -0.6994643550940116 -0.6994643550940116 0.0 0.0 0.0 299.2754538782576 NaN 3.697885480287241 1.226008627023106E-4 0.6994643550940116 1.0247245583366407 3.396497817391459E-6 10.002668441911288 299.2754538782576
10.005937287749177 0.9794184910591718 0.03886235922735712 -1.3816699570239524E-4  -0.7114747571541937 -0.7114747571541937 -0.7114747571541937 0.0 0.0 0.0 299.37565846772003 NaN 3.709597740897042 1.2260086554890447E-4 0.7114747571541937 1.0243897666525439 3.383562262836179E-6 10.005937287749177 299.37565846772003
10.009206133587087 0.9790986287229044 0.039491969553020166 -1.1488946925737158E-4  -0.723490719812066 -0.723490719812066 -0.723490719812066 0.0 0.0 0.0 299.475831121792 NaN 3.721320664856078 1.2260086900115296E-4 0.723490719812066 1.0240551885847369 3.370700634882098E-6 10.009206133587087 299.475831121792
10.012474979425015 0.9787789752422217 0.04012192084276758 -9.09579041401868E-5  -0.7355390216569069 -0.7355390216569069 -0.7355390216569069 0.0 0.0 0.0 299.57597185181373 NaN 3.7225042132293926 1.2260086900115296E-4 0.7355390216569069 1.0237208578076584 3.3674290848086007E-6 10.012474979425015 299.57597185181373
10.01574382526296 0.9784595304126306 0.040752212477107745 -6.687405564568231E-5  -0.747594973317619 -0.747594973317619 -0.747594973317619 0.0 0.0 0.0 299.67608066876846 NaN 3.7342380982779866 1.2260086883732993E-4 0.747594973317619 1.0233867466296183 3.354657006649565E-6 10.01574382526296 299.67608066876846
10.019012671100928 0.9781402940299045 0.041382844163954734 -4.224976186669468E-5  -0.7596776849379325 -0.7596776849379325 -0.7596776849379325 0.0 0.0 0.0 299.7761575827577 NaN 3.735422041289331 1.2260086810256918E-4 0.7596776849379325 1.023052858232838 3.351405788581958E-6 10.019012671100928 299.7761575827577
10.02228151693891 0.9778212658900843 0.04201381521659581 -1.7359090066880543E-5  -0.7717736668332917 -0.7717736668332917 -0.7717736668332917 0.0 0.0 0.0 299.87620260361984 NaN 3.747165218241586 1.226008676511434E-4 0.7717736668332917 1.022719185273162 3.338723907306774E-6 10.02228151693891 299.87620260361984
