# Isentrope from stress.dstrain
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
5.911512493289529 0.9010454674986824 0.402186122183276 0.09502220821779345  -8.358606435422605 -8.358606435422605 -8.358606435422605 0.0 0.0 0.0 325.5989881856753 -0.04059275458746028 15.560401601344166 3.2852844817658576E-4 8.358606435422605 1.0805261149438796 3.859124917316057E-6 5.911512493289529 325.5989881856753
5.92110218131263 0.8995861539007493 0.4085827662880597 0.09747067986273286  -8.4943787855828 -8.4943787855828 -8.4943787855828 0.0 0.0 0.0 326.1705116365152 -0.03839607898998074 15.587367662972355 3.284501197202745E-4 8.4943787855828 1.083422426355839 3.855599456551891E-6 5.92110218131263 326.1705116365152
5.9306918693425015 0.898131559603498 0.4149745895780617 0.09991958915622456  -8.630164289001707 -8.630164289001707 -8.630164289001707 0.0 0.0 0.0 326.7436405238437 -0.03619945382973497 15.614374204043926 3.283717912639079E-4 8.630164289001707 1.0863115843720397 3.8520357491959455E-6 5.9306918693425015 326.7436405238437
5.940281557379115 0.8966816617511418 0.4213616110676525 0.10236893546256237  -8.765962985117586 -8.765962985117586 -8.765962985117586 0.0 0.0 0.0 327.3183740604219 -0.03400287610812776 15.64142062406958 3.282934628074862E-4 8.765962985117586 1.0891936252181889 3.848434510359773E-6 5.940281557379115 327.3183740604219
5.949871245422437 0.8952364376352459 0.4277438495485807 0.10481871815420289  -8.90177491339319 -8.90177491339319 -8.90177491339319 0.0 0.0 0.0 327.894711483134 -0.031806342838539385 15.668506329394539 3.2821513435100973E-4 8.90177491339319 1.0920685848879528 3.844796445430812E-6 5.949871245422437 327.894711483134
5.959460933472434 0.89379586469354 0.4341213235932383 0.10726893661168375  -9.037600113316396 -9.037600113316396 -9.037600113316396 0.0 0.0 0.0 328.47265205276153 -0.029609851046161456 15.695630733120455 3.2813680589447873E-4 9.037600113316396 1.0949364991448278 3.841122250183985E-6 5.959460933472434 328.47265205276153
5.969050621529075 0.892359920508746 0.4404940515578724 0.10971959022354058  -9.173438624400738 -9.173438624400738 -9.173438624400738 0.0 0.0 0.0 329.05219505376 -0.027413397767836734 15.722793255028222 3.2805847743789347E-4 9.173438624400738 1.09779740352399 3.837412610892564E-6 5.969050621529075 329.05219505376
5.978640309592326 0.8909285828074133 0.4468620515857498 0.11217067838622617  -9.30929048618596 -9.30929048618596 -9.30929048618596 0.0 0.0 0.0 329.633339794039 -0.025216980051900147 15.749993321501817 3.279801489812542E-4 9.30929048618596 1.100651333334129 3.833668204438231E-6 5.978640309592326 329.633339794039
5.98822999766216 0.8895018294587681 0.45322534161027256 0.11462220050402956  -9.445155738238538 -9.445155738238538 -9.445155738238538 0.0 0.0 0.0 330.2160856047446 -0.023020594958022406 15.77723036545305 3.279018205245612E-4 9.445155738238538 1.103498323659263 3.829889698420372E-6 5.98822999766216 330.2160856047446
5.99781968573854 0.8880796384735736 0.4595839393580438 0.11707415598899559  -9.58103442015214 -9.58103442015214 -9.58103442015214 0.0 0.0 0.0 330.8004318400446 -0.02082423955705642 15.804503826247238 3.2782349206781475E-4 9.58103442015214 1.1063384093605355 3.826077751264568E-6 5.99781968573854 330.8004318400446
