# Isentrope from stress.dstrain
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
11.793458802014626 0.961760465142233 0.10068680894434272 0.021265993035855857  -2.97978247979632 -2.97978247979632 -2.97978247979632 0.0 0.0 0.0 325.2167785999797 -0.07511601583443649 7.055577314034301 1.195713311602996E-4 2.97978247979632 2.65094558715842 3.8093785174947517E-6 11.793458802014626 325.2167785999797
11.80196779031169 0.9610670546290142 0.10260341379326408 0.02166558207432776  -3.0364460975734016 -3.0364460975734016 -3.0364460975734016 0.0 0.0 0.0 325.8390722993565 -0.07490316034631224 7.067686244286093 1.1956704776671512E-4 3.0364460975734016 2.650048647370301 3.7986883596049102E-6 11.80196779031169 325.8390722993565
11.810476778609283 0.960374643266261 0.1045202769964944 0.022065229159250906  -3.093113313079844 -3.093113313079844 -3.093113313079844 0.0 0.0 0.0 326.4618960758769 -0.0746901979069019 7.079770501982249 1.1956276437313032E-4 3.093113313079844 2.64915307262855 3.7880560036173366E-6 11.810476778609283 326.4618960758769
11.818985766907407 0.9596832288959817 0.10643739344868332 0.022464934255672964  -3.149784127498083 -3.149784127498083 -3.149784127498083 0.0 0.0 0.0 327.0852496941693 -0.07447712811508982 7.09183015884788 1.1955848097954529E-4 3.149784127498083 2.6482588599927013 3.7774809831553297E-6 11.818985766907407 327.0852496941693
11.82749475520606 0.9589928093663941 0.10835475807725596 0.022864697328667034  -3.206458542010009 -3.206458542010009 -3.206458542010009 0.0 0.0 0.0 327.7091329190405 -0.07426395057000901 7.1038652863495715 1.1955419758595998E-4 3.206458542010009 2.6473660065307554 3.7669628368440573E-6 11.82749475520606 327.7091329190405
11.836003743505241 0.958303382531904 0.11027236584217488 0.02326451834333163  -3.263136557796963 -3.263136557796963 -3.263136557796963 0.0 0.0 0.0 328.3335455154761 -0.07405066487104116 7.115875955696485 1.1954991419237439E-4 3.263136557796963 2.646474509319144 3.756501108243691E-6 11.836003743505241 328.3335455154761
11.844512731804947 0.9576149462530829 0.1121902117357035 0.02366439726479041  -3.319818176039702 -3.319818176039702 -3.319818176039702 0.0 0.0 0.0 328.95848724864015 -0.0738372706178166 7.1278622378414696 1.1954563079878854E-4 3.319818176039702 2.6455843654427014 3.7460953457836075E-6 11.844512731804947 328.95848724864015
11.85302172010518 0.956927498396645 0.11410829078217591 0.024064334058192922  -3.3765033979184933 -3.3765033979184933 -3.3765033979184933 0.0 0.0 0.0 329.58395788387674 -0.07362376741021391 7.13982420348219 1.1954134740520244E-4 3.3765033979184933 2.6446955719946326 3.735745102697614E-6 11.85302172010518 329.58395788387674
11.861530708405935 0.9562410368354272 0.11602660113658257 0.024464452826171372  -3.433196241808767 -3.433196241808767 -3.433196241808767 0.0 0.0 0.0 330.20999198550595 -0.07341940143863748 7.151808115485998 1.197398567250451E-4 3.433196241808767 2.6439560438047156 3.7319547866280378E-6 11.861530708405935 330.20999198550595
11.870039696707213 0.955555559448364 0.11794513820125235 0.02486463773283445  -3.489892966889199 -3.489892966889199 -3.489892966889199 0.0 0.0 0.0 330.8365550983467 -0.07321547068592946 7.163726460093414 1.1973654433091032E-4 3.489892966889199 2.6430717793794347 3.7217269895205884E-6 11.870039696707213 330.8365550983467
