# Isentrope from stress.dstrain
# strain rate = 1.0
# isentrope compressing along x
# rho v/v0 up e tau T s csqv cv p gamma alphavol   state
10.17048512751447 0.9638379956409856 0.0705065578481578 0.0015004686076033609  -1.3398289572053035 -1.3398289572053035 -1.3398289572053035 0.0 0.0 0.0 304.29057703521073 NaN 4.025925130061293 1.2260467267859537E-4 1.3398289572053035 1.0077491426667333 3.017533473560729E-6 10.17048512751447 304.29057703521073
10.17538892921827 0.9633734954201006 0.07147888211254447 0.0015620306038436895  -1.3591805784106061 -1.3591805784106061 -1.3591805784106061 0.0 0.0 0.0 304.4383953765416 NaN 4.111578298241233 1.2260467108693955E-4 1.3591805784106061 1.0072634935244114 2.9518244618642073E-6 10.17538892921827 304.4383953765416
10.180292730922163 0.9629094426945854 0.07245596074035292 0.001630405364249999  -1.3788688199572268 -1.3788688199572268 -1.3788688199572268 0.0 0.0 0.0 304.58614301521857 NaN 4.113395774767536 1.2260467108693955E-4 1.3788688199572268 1.0067782991821297 2.9476783975800347E-6 10.180292730922163 304.58614301521857
10.185196532626145 0.9624458368180822 0.07343278439290805 0.001698771460177208  -1.3985569726993647 -1.3985569726993647 -1.3985569726993647 0.0 0.0 0.0 304.73381998383104 NaN 4.115209680789959 1.2260467108693955E-4 1.3985569726993647 1.0062935720466988 2.943542651319453E-6 10.185196532626145 304.73381998383104
10.19010033433022 0.9619826771454765 0.07440935284503833 0.001767128895714857  -1.4182450366789487 -1.4182450366789487 -1.4182450366789487 0.0 0.0 0.0 304.88142631573425 NaN 4.117020024094211 1.2260467108693955E-4 1.4182450366789487 1.0058093114436135 2.939417185235027E-6 10.19010033433022 304.88142631573425
10.195004136034386 0.9615199630328954 0.07538566587312885 0.0018354776749546463  -1.437933011937916 -1.437933011937916 -1.437933011937916 0.0 0.0 0.0 305.0289620443013 NaN 4.118826812445958 1.2260467108693955E-4 1.437933011937916 1.0053255166996673 2.935301961663763E-6 10.195004136034386 305.0289620443013
10.19990793773864 0.9610576938377051 0.07636172325511395 0.0019038178019904083  -1.457620898518204 -1.457620898518204 -1.457620898518204 0.0 0.0 0.0 305.17642720292315 NaN 4.120630053590893 1.2260467108693955E-4 1.457620898518204 1.0048421871429483 2.931196943125978E-6 10.19990793773864 305.17642720292315
10.204811739442988 0.9605958689185052 0.07733752477047358 0.0019721492809182993  -1.4773086964618238 -1.4773086964618238 -1.4773086964618238 0.0 0.0 0.0 305.3238218250087 NaN 4.122429755254795 1.2260467108693955E-4 1.4773086964618238 1.0043593221028353 2.9271020923241814E-6 10.204811739442988 305.3238218250087
10.209715541147427 0.9601344876351292 0.07831307020022168 0.002040472115836498  -1.4969964058107652 -1.4969964058107652 -1.4969964058107652 0.0 0.0 0.0 305.47114594398414 NaN 4.124225925143582 1.2260467108693955E-4 1.4969964058107652 1.0038769209099963 2.923017372141983E-6 10.209715541147427 305.47114594398414
10.214619342851952 0.9596735493486395 0.0792883593269013 0.0021087863108453105  -1.516684026607039 -1.516684026607039 -1.516684026607039 0.0 0.0 0.0 305.61839959329313 NaN 4.126018570943374 1.2260467108693955E-4 1.516684026607039 1.0033949828963846 2.9189427456429912E-6 10.214619342851952 305.61839959329313
