#           USTAR            CLAG         DENSITY          STRESS
  1.76245271e+02  9.91325574e+03  3.64781774e+03  5.98618643e+09
  1.76796832e+02  9.93236983e+03  3.64802436e+03  6.00577989e+09
  1.77348392e+02  9.93342440e+03  3.64823079e+03  6.02539326e+09
  1.77899953e+02  9.93487468e+03  3.64843722e+03  6.04500911e+09
  1.78451514e+02  9.93229105e+03  3.64864368e+03  6.06462383e+09
  1.79003074e+02  9.93701668e+03  3.64885014e+03  6.08424067e+09
  1.79554635e+02  9.95573650e+03  3.64905639e+03  6.10388066e+09
  1.80106196e+02  9.95731877e+03  3.64926245e+03  6.12354069e+09
  1.80657756e+02  9.95932801e+03  3.64946849e+03  6.14320427e+09
  1.81209317e+02  9.95744665e+03  3.64967455e+03  6.16286797e+09
  1.81760878e+02  9.96179243e+03  3.64988062e+03  6.18253411e+09
  1.82312438e+02  9.98020188e+03  3.65008647e+03  6.20222271e+09
  1.82863999e+02  9.98607778e+03  3.65029209e+03  6.22193529e+09
  1.83415560e+02  9.99225707e+03  3.65049762e+03  6.24165978e+09
  1.83967120e+02  9.99090716e+03  3.65070311e+03  6.26138903e+09
  1.84518681e+02  9.99480253e+03  3.65090861e+03  6.28112079e+09
  1.85070242e+02  1.00127156e+04  3.65111390e+03  6.30087408e+09
  1.85621802e+02  1.00188215e+04  3.65131897e+03  6.32065109e+09
  1.86173363e+02  1.00251637e+04  3.65152393e+03  6.34044039e+09
  1.86724924e+02  1.00242450e+04  3.65172887e+03  6.36023504e+09
  1.87276484e+02  1.00280517e+04  3.65193379e+03  6.38003255e+09
  1.87828045e+02  1.00458086e+04  3.65213852e+03  6.39985134e+09
  1.88379606e+02  1.00524625e+04  3.65234302e+03  6.41969423e+09
  1.88931166e+02  1.00596697e+04  3.65254741e+03  6.43955081e+09
  1.89482727e+02  1.00628193e+04  3.65275171e+03  6.45941762e+09
  1.90034288e+02  1.00706774e+04  3.65295593e+03  6.47929529e+09
  1.90585848e+02  1.00911712e+04  3.65315988e+03  6.49920095e+09
  1.91137409e+02  1.00985669e+04  3.65336357e+03  6.51913415e+09
  1.91688970e+02  1.01170296e+04  3.65356702e+03  6.53909288e+09
  1.92240530e+02  1.01209759e+04  3.65377027e+03  6.55907374e+09
  1.92792091e+02  1.01279313e+04  3.65397343e+03  6.57906535e+09
  1.93343652e+02  1.01442513e+04  3.65417639e+03  6.59907995e+09
  1.93895212e+02  1.01473788e+04  3.65437917e+03  6.61911374e+09
  1.94446773e+02  1.01502836e+04  3.65458191e+03  6.63915350e+09
  1.94998334e+02  1.01557055e+04  3.65478459e+03  6.65920147e+09
  1.95549894e+02  1.01569516e+04  3.65498723e+03  6.67925602e+09
  1.96101455e+02  1.01588079e+04  3.65518986e+03  6.69931364e+09
  1.96653016e+02  1.01812301e+04  3.65539227e+03  6.71939523e+09
  1.97204576e+02  1.01822220e+04  3.65559447e+03  6.73949994e+09
  1.97756137e+02  1.01876081e+04  3.65579663e+03  6.75961094e+09
  1.98307698e+02  1.01890716e+04  3.65599874e+03  6.77972871e+09
  1.98859258e+02  1.01904489e+04  3.65620085e+03  6.79984928e+09
  1.99410819e+02  1.02124434e+04  3.65640275e+03  6.81999292e+09
  1.99962380e+02  1.02137374e+04  3.65660444e+03  6.84015956e+09
  2.00513940e+02  1.02154643e+04  3.65680612e+03  6.86032918e+09
  2.01065501e+02  1.02134220e+04  3.65700783e+03  6.88049849e+09
  2.01617062e+02  1.02143229e+04  3.65720957e+03  6.90066667e+09
  2.02168622e+02  1.02358377e+04  3.65741111e+03  6.92085698e+09
  2.02720183e+02  1.02375223e+04  3.65761245e+03  6.94107020e+09
  2.03271744e+02  1.02393911e+04  3.65781378e+03  6.96128692e+09
  2.03823304e+02  1.02371681e+04  3.65801512e+03  6.98150330e+09
  2.04374865e+02  1.02371822e+04  3.65821652e+03  7.00171749e+09
  2.04926426e+02  1.02576153e+04  3.65841773e+03  7.02195188e+09
  2.05477986e+02  1.02590381e+04  3.65861875e+03  7.04220784e+09
  2.06029547e+02  1.02606196e+04  3.65881977e+03  7.06246676e+09
  2.06581108e+02  1.02587403e+04  3.65902081e+03  7.08272539e+09
  2.07132668e+02  1.02575970e+04  3.65922190e+03  7.10298104e+09
  2.07684229e+02  1.02766846e+04  3.65942284e+03  7.12325441e+09
  2.08235790e+02  1.02775440e+04  3.65962360e+03  7.14354747e+09
  2.08787350e+02  1.02784298e+04  3.65982437e+03  7.16384225e+09
  2.09338911e+02  1.02760930e+04  3.66002518e+03  7.18413560e+09
  2.09890472e+02  1.02749412e+04  3.66022604e+03  7.20442550e+09
  2.10442032e+02  1.02932524e+04  3.66042676e+03  7.22473235e+09
  2.10993593e+02  1.02943805e+04  3.66062731e+03  7.24505838e+09
  2.11545154e+02  1.02954915e+04  3.66082786e+03  7.26538663e+09
  2.12096714e+02  1.02934859e+04  3.66102844e+03  7.28571400e+09
  2.12648275e+02  1.02907549e+04  3.66122909e+03  7.30603669e+09
  2.13199836e+02  1.03073039e+04  3.66142962e+03  7.32637302e+09
  2.13751396e+02  1.03075432e+04  3.66163002e+03  7.34672592e+09
  2.14302957e+02  1.03075245e+04  3.66183043e+03  7.36707905e+09
  2.14854517e+02  1.03048154e+04  3.66203089e+03  7.38742948e+09
  2.15406078e+02  1.03000152e+04  3.66223145e+03  7.40777250e+09
  2.15957639e+02  1.03138820e+04  3.66243194e+03  7.42812446e+09
  2.16509199e+02  1.03124039e+04  3.66263234e+03  7.44848866e+09
  2.17060760e+02  1.03105945e+04  3.66283278e+03  7.46884962e+09
  2.17612321e+02  1.03083792e+04  3.66303329e+03  7.48920660e+09
  2.18163881e+02  1.03055178e+04  3.66323387e+03  7.50955857e+09
  2.18715442e+02  1.03206013e+04  3.66343435e+03  7.52992260e+09
  2.19267003e+02  1.03194948e+04  3.66363472e+03  7.55030044e+09
  2.19818563e+02  1.03178161e+04  3.66383514e+03  7.57067552e+09
  2.20370124e+02  1.03143454e+04  3.66403563e+03  7.59104552e+09
  2.20921685e+02  1.03103787e+04  3.66423621e+03  7.61140818e+09
  2.21473245e+02  1.03036856e+04  3.66443692e+03  7.63176031e+09
  2.22024806e+02  1.03276277e+04  3.66463748e+03  7.65212948e+09
  2.22576367e+02  1.03272109e+04  3.66483784e+03  7.67252187e+09
  2.23127927e+02  1.03241603e+04  3.66503825e+03  7.69291083e+09
