#           USTAR            CLAG         DENSITY          STRESS
  1.62293422e+03  1.10825095e+04  4.43683609e+03  5.01711203e+10
  1.62872715e+03  1.11006024e+04  4.43970985e+03  5.04011447e+10
  1.63452008e+03  1.11185134e+04  4.44258268e+03  5.06315423e+10
  1.64031301e+03  1.11236316e+04  4.44545624e+03  5.08621788e+10
  1.64610594e+03  1.11400948e+04  4.44833073e+03  5.10930391e+10
  1.65189887e+03  1.11653683e+04  4.45120355e+03  5.13243321e+10
  1.65769179e+03  1.11728723e+04  4.45407586e+03  5.15559650e+10
  1.66348472e+03  1.11834661e+04  4.45694955e+03  5.17877856e+10
  1.66927765e+03  1.12106765e+04  4.45982210e+03  5.20199981e+10
  1.67507058e+03  1.12213981e+04  4.46269348e+03  5.22526041e+10
  1.68086351e+03  1.12284147e+04  4.46556628e+03  5.24853939e+10
  1.68665644e+03  1.12578057e+04  4.46843813e+03  5.27185613e+10
  1.69244937e+03  1.12686186e+04  4.47130854e+03  5.29521455e+10
  1.69824230e+03  1.12758784e+04  4.47418033e+03  5.31859172e+10
  1.70403523e+03  1.13030498e+04  4.47705143e+03  5.34200459e+10
  1.70982816e+03  1.13140506e+04  4.47992136e+03  5.36545704e+10
  1.71562109e+03  1.13242863e+04  4.48279227e+03  5.38893151e+10
  1.72141402e+03  1.13398319e+04  4.48566359e+03  5.41243271e+10
  1.72720695e+03  1.13491038e+04  4.48853545e+03  5.43595965e+10
  1.73299988e+03  1.13737696e+04  4.49140669e+03  5.45952178e+10
  1.73879281e+03  1.13922232e+04  4.49427615e+03  5.48312862e+10
  1.74458574e+03  1.14095063e+04  4.49714478e+03  5.50677252e+10
  1.75037867e+03  1.14268272e+04  4.50001272e+03  5.53045230e+10
  1.75617160e+03  1.14318864e+04  4.50288150e+03  5.55415529e+10
  1.76196453e+03  1.14466581e+04  4.50575145e+03  5.57787884e+10
  1.76775746e+03  1.14637585e+04  4.50862107e+03  5.60163544e+10
  1.77355039e+03  1.14896904e+04  4.51148895e+03  5.62543666e+10
  1.77934332e+03  1.15105170e+04  4.51435464e+03  5.64928637e+10
  1.78513625e+03  1.15233054e+04  4.51721979e+03  5.67317093e+10
  1.79092918e+03  1.15419032e+04  4.52008466e+03  5.69708804e+10
  1.79672211e+03  1.15528491e+04  4.52294950e+03  5.72103579e+10
  1.80251504e+03  1.15696501e+04  4.52581453e+03  5.74501230e+10
  1.80830797e+03  1.15858262e+04  4.52867911e+03  5.76902301e+10
  1.81410090e+03  1.16049847e+04  4.53154294e+03  5.79307037e+10
  1.81989383e+03  1.16260765e+04  4.53440542e+03  5.81715945e+10
  1.82568676e+03  1.16419547e+04  4.53726696e+03  5.84128688e+10
  1.83147969e+03  1.16579765e+04  4.54012820e+03  5.86544738e+10
  1.83727262e+03  1.16747839e+04  4.54298901e+03  5.88964192e+10
